CustomerID,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Revenue_Per_Month,Tenure_Group,Charge_Group,Cluster,Customer Segment,Predicted_Churn_Probability
5583-SXDAG,Alhambra,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes,1,97,4094,Don't know,35.0,0-1 Year,Medium,1,Loyal Customers,0.8127934
8098-LLAZX,Jacumba,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,1,85,3677,Service dissatisfaction,79.22,0-1 Year,Very High,2,At Risk Customers,0.8301075
7563-BIUPC,Borrego Springs,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,1,69,5715,Network reliability,69.25833333333334,0-1 Year,High,1,Loyal Customers,0.7038768
0122-OAHPZ,Oceanside,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,1,67,2473,Price too high,63.90625,0-1 Year,High,2,At Risk Customers,0.73667043
2034-GDRCN,Valley Center,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,1,76,4157,Don't know,56.06666666666666,0-1 Year,Very High,1,Loyal Customers,0.81023324
0219-YTZUE,San Diego,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,1,73,4939,Don't know,74.38,0-1 Year,High,1,Loyal Customers,0.8437085
1010-DIAUQ,San Diego,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes,1,98,5383,Price too high,82.09166666666667,0-1 Year,Very High,1,Loyal Customers,0.7317826
0259-GBZSH,San Diego,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,1,73,3878,Product dissatisfaction,60.5,0-1 Year,High,2,At Risk Customers,0.87604606
9601-BRXPO,San Diego,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes,1,66,3642,Service dissatisfaction,98.71153846153848,2-4 Years,Very High,2,At Risk Customers,0.71089447
5167-ZFFMM,Indio,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,1,81,3424,Network reliability,45.425,0-1 Year,Very High,2,At Risk Customers,0.8886586
0334-GDDSO,Ocotillo,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,Yes,1,73,2818,Service dissatisfaction,58.425,0-1 Year,High,2,At Risk Customers,0.76684886
5564-NEMQO,Thermal,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,Yes,1,67,4902,Network reliability,37.65,0-1 Year,High,1,Loyal Customers,0.77520865
4110-PFEUZ,Daggett,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,Yes,1,73,2792,Competitor had better devices,34.775,0-1 Year,Medium,2,At Risk Customers,0.7400885
0880-TKATG,Lucerne Valley,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,Yes,1,84,4417,Competitor had better devices,77.17999999999999,0-1 Year,Very High,1,Loyal Customers,0.8198274
3811-VBYBZ,Lytle Creek,Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,Yes,1,98,2031,Competitor had better devices,84.15625,0-1 Year,Very High,2,At Risk Customers,0.8273948
3583-EKAPL,Redlands,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,55.0,Yes,1,71,4877,Competitor had better devices,27.5,0-1 Year,Medium,1,Loyal Customers,0.7320109
9399-APLBT,Rialto,Female,No,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,Yes,1,80,5980,Competitor had better devices,37.35,0-1 Year,High,1,Loyal Customers,0.86301345
0306-JAELE,Tecopa,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,Yes,1,66,4192,Competitor had better devices,75.56666666666666,0-1 Year,Very High,1,Loyal Customers,0.70116526
5949-XIKAE,San Bernardino,Female,No,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,680.05,Yes,1,65,2879,Product dissatisfaction,75.5611111111111,0-1 Year,High,2,At Risk Customers,0.74944794
8372-JUXUI,San Bernardino,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,74.35,Yes,1,93,2814,Service dissatisfaction,37.175,0-1 Year,High,2,At Risk Customers,0.87342876
7783-YKGDV,March Air Reserve Base,Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),99.7,1238.45,Yes,1,76,2538,Lack of affordable download/upload speed,95.26538461538462,0-1 Year,Very High,2,At Risk Customers,0.7183891
7218-HKQFK,Homeland,Male,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,Yes,1,72,3715,Don't know,55.833333333333336,0-1 Year,Very High,2,At Risk Customers,0.74253786
4636-QRJKY,Idyllwild,Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.5,502.85,Yes,1,98,5032,Price too high,71.83571428571429,0-1 Year,High,1,Loyal Customers,0.7612618
5956-VKDTT,Moreno Valley,Female,Yes,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,334.8,Yes,1,82,5273,Product dissatisfaction,55.8,0-1 Year,High,1,Loyal Customers,0.77869534
8397-MVTAZ,Sun City,Male,No,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,3480.0,Yes,1,72,2568,Don't know,99.42857142857144,2-4 Years,Very High,2,At Risk Customers,0.71273434
9282-IZGQK,Irvine,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,Yes,1,80,5679,Don't know,42.5,0-1 Year,High,1,Loyal Customers,0.8941371
1342-JPNKI,Lake Forest,Male,No,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.05,834.1,Yes,1,85,2966,Don't know,75.82727272727273,0-1 Year,High,2,At Risk Customers,0.70514876
5192-EBGOV,Brea,Female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.7,85.7,Yes,1,66,4880,Competitor offered higher download speeds,42.85,0-1 Year,High,1,Loyal Customers,0.9159037
5099-BAILX,Santa Barbara,Male,Yes,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,4687.9,Yes,1,65,2728,Competitor made better offer,106.5431818181818,2-4 Years,Very High,0,Champions,0.8227706
7207-RMRDB,Santa Barbara,Female,No,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,6985.65,Yes,1,89,5720,Competitor had better devices,105.84318181818182,4-6 Years,Very High,0,Champions,0.7902634
0195-IESCP,Armona,Male,No,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,855.3,Yes,1,75,3573,Competitor offered more data,77.75454545454545,0-1 Year,High,2,At Risk Customers,0.80785453
0970-ETWGE,Bodfish,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,Yes,1,99,4996,Competitor had better devices,44.775,0-1 Year,High,1,Loyal Customers,0.8942591
1626-ERCMM,Camp Nelson,Male,Yes,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.55,1899.65,Yes,1,84,5604,Competitor had better devices,90.45952380952382,1-2 Years,Very High,1,Loyal Customers,0.71191365
5644-PDMZC,Delano,Female,Yes,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.5,161.5,Yes,1,80,2065,Competitor offered higher download speeds,53.833333333333336,0-1 Year,High,2,At Risk Customers,0.76737124
2024-BASKD,Exeter,Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.6,74.6,Yes,1,94,3860,Competitor offered more data,37.3,0-1 Year,High,1,Loyal Customers,0.77639717
3276-HDUEG,Maricopa,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.05,75.05,Yes,1,78,4838,Competitor offered higher download speeds,37.525,0-1 Year,High,1,Loyal Customers,0.81726253
0822-GAVAP,Posey,Female,No,No,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.7,62.25,Yes,1,65,3146,Competitor made better offer,20.75,0-1 Year,Low,2,At Risk Customers,0.72240514
1448-PWKYE,Shafter,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.0,80.0,Yes,1,88,2046,Competitor had better devices,40.0,0-1 Year,High,2,At Risk Customers,0.85453945
4952-YSOGZ,Lompoc,Female,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,381.3,Yes,1,74,5640,Competitor offered more data,76.26,0-1 Year,High,1,Loyal Customers,0.88924575
5138-WVKYJ,Mojave,Male,No,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.55,1008.55,Yes,1,80,3658,Competitor offered higher download speeds,91.68636363636364,0-1 Year,Very High,2,At Risk Customers,0.7327491
6683-VLCTZ,Johannesburg,Male,Yes,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.55,1842.8,Yes,1,92,5444,Competitor offered more data,87.75238095238095,1-2 Years,Very High,1,Loyal Customers,0.7396556
7314-OXENN,Trona,Male,No,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,82.0,184.65,Yes,1,97,3051,Competitor offered more data,61.55,0-1 Year,High,2,At Risk Customers,0.78738153
1450-GALXR,Friant,Female,No,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1058.25,Yes,1,74,5184,Attitude of service provider,96.20454545454544,0-1 Year,Very High,1,Loyal Customers,0.87955415
3138-BKYAV,Kerman,Male,No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.35,489.45,Yes,1,75,4694,Attitude of service provider,69.92142857142856,0-1 Year,High,1,Loyal Customers,0.709714
4289-DTDKW,Madera,Male,No,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,4113.1,Yes,1,70,2576,Attitude of support person,100.31951219512196,2-4 Years,Very High,2,At Risk Customers,0.72291386
1820-TQVEV,Madera,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,Yes,1,76,3042,Attitude of support person,34.775,0-1 Year,Medium,2,At Risk Customers,0.85764843
6275-YDUVO,Orosi,Female,No,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.2,178.7,Yes,1,95,2969,Attitude of service provider,59.56666666666666,0-1 Year,High,2,At Risk Customers,0.76354176
0115-TFERT,Fresno,Male,No,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes,1,89,4123,Attitude of service provider,105.32272727272726,1-2 Years,Very High,2,At Risk Customers,0.70438874
3643-AHCFP,Selma,Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35,Yes,1,83,3265,Competitor made better offer,80.54375,0-1 Year,Very High,2,At Risk Customers,0.85467356
3027-ZTDHO,Fresno,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9,89.9,Yes,1,80,5951,Don't know,44.95,0-1 Year,Very High,1,Loyal Customers,0.8870976
9944-HKVVB,King City,Female,No,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,307.4,Yes,1,77,5861,Competitor offered higher download speeds,76.85,0-1 Year,Very High,1,Loyal Customers,0.72954446
9851-KIELU,Loma Mar,Male,No,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,Yes,1,76,5803,Competitor made better offer,94.84545454545454,0-1 Year,Very High,1,Loyal Customers,0.73080206
4315-MURBD,San Bruno,Female,No,No,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,Yes,1,71,5559,Price too high,86.22692307692309,0-1 Year,Very High,1,Loyal Customers,0.7931092
9734-YWGEX,South San Francisco,Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.3,923.5,Yes,1,81,2954,Price too high,92.35,0-1 Year,Very High,2,At Risk Customers,0.7541315
0781-LKXBR,San Francisco,Male,Yes,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,Yes,1,70,4038,Price too high,91.86,0-1 Year,Very High,1,Loyal Customers,0.84566
6513-EECDB,San Francisco,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,73.55,Yes,1,94,4369,Price too high,36.775,0-1 Year,High,1,Loyal Customers,0.8760021
7074-IEVOJ,San Francisco,Female,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.4,205.05,Yes,1,91,3501,Product dissatisfaction,51.2625,0-1 Year,High,2,At Risk Customers,0.7645751
4750-ZRXIU,Palo Alto,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,360.1,Yes,1,83,2467,Lack of self-service on Website,72.02000000000001,0-1 Year,High,2,At Risk Customers,0.7990655
3158-MOERK,Hayward,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,174.8,Yes,1,83,3391,Competitor offered more data,58.26666666666667,0-1 Year,Very High,2,At Risk Customers,0.8865944
7294-TMAOP,Castro Valley,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.55,90.55,Yes,1,72,2627,Competitor made better offer,45.275,0-1 Year,Very High,2,At Risk Customers,0.84424156
5875-YPQFJ,Fremont,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,Yes,1,84,5367,Competitor offered higher download speeds,34.95,0-1 Year,Medium,1,Loyal Customers,0.89670914
8603-IJWDN,Pinole,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.6,86.6,Yes,1,93,5228,Competitor offered higher download speeds,43.3,0-1 Year,High,1,Loyal Customers,0.89378893
1374-DMZUI,San Ramon,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,424.45,Yes,1,99,5419,Competitor made better offer,84.89,0-1 Year,Very High,1,Loyal Customers,0.8357996
8357-EQXFO,Union City,Female,No,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.35,660.9,Yes,1,92,3077,Competitor made better offer,82.6125,0-1 Year,Very High,2,At Risk Customers,0.746118
4822-RVYBB,Berkeley,Male,Yes,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,819.4,Yes,1,90,5906,Competitor offered higher download speeds,91.04444444444444,0-1 Year,Very High,1,Loyal Customers,0.8631242
4145-UQXUQ,Berkeley,Female,Yes,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.1,729.95,Yes,1,81,5662,Competitor offered more data,81.10555555555555,0-1 Year,Very High,1,Loyal Customers,0.7343177
2074-GKOWZ,Novato,Male,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.55,185.55,Yes,1,73,3851,Competitor had better devices,61.85,0-1 Year,High,2,At Risk Customers,0.8002932
0655-RBDUG,Alviso,Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,Yes,1,86,2561,Competitor offered more data,89.125,0-1 Year,Very High,2,At Risk Customers,0.85049766
9878-TNQGW,Davenport,Male,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.95,171.15,Yes,1,65,3533,Competitor made better offer,57.05,0-1 Year,High,2,At Risk Customers,0.7554142
8999-BOHSE,Gilroy,Female,Yes,No,No,11,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),89.7,1047.7,Yes,1,89,2202,Competitor offered higher download speeds,87.30833333333334,0-1 Year,High,2,At Risk Customers,0.7112158
9763-PDTKK,San Jose,Female,No,No,No,4,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.4,387.2,Yes,1,74,4249,Competitor had better devices,77.44,0-1 Year,Very High,1,Loyal Customers,0.7409258
8111-SLLHI,San Jose,Male,Yes,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.65,4284.8,Yes,1,96,4687,Competitor offered higher download speeds,107.12,2-4 Years,Very High,0,Champions,0.8130535
5293-WXJAK,San Jose,Female,Yes,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.05,1133.65,Yes,1,82,4553,Competitor offered more data,94.47083333333336,0-1 Year,Very High,1,Loyal Customers,0.90879506
0841-NULXI,Stockton,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.55,35.55,Yes,1,71,3958,Don't know,17.775,0-1 Year,Medium,1,Loyal Customers,0.76518095
7851-WZEKY,Stockton,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.15,196.9,Yes,1,82,2414,Competitor made better offer,65.63333333333334,0-1 Year,Very High,2,At Risk Customers,0.86935985
8844-TONUD,Acampo,Male,No,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.65,1162.85,Yes,1,75,5295,Attitude of service provider,83.06071428571428,1-2 Years,Very High,1,Loyal Customers,0.8100989
4086-YQSNZ,Glencoe,Female,Yes,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.4,224.05,Yes,1,89,3834,Attitude of service provider,56.0125,0-1 Year,High,2,At Risk Customers,0.7553005
0135-NMXAP,Lodi,Female,No,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Yes,1,97,5671,Attitude of support person,80.95384615384616,0-1 Year,High,1,Loyal Customers,0.8237239
3992-YWPKO,Atwater,Female,No,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.9,669.45,Yes,1,69,5750,Attitude of service provider,95.63571428571429,0-1 Year,Very High,1,Loyal Customers,0.74066913
5673-FSSMF,Delhi,Female,No,No,No,1,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,60.15,60.15,Yes,1,91,4611,Attitude of support person,30.075,0-1 Year,Medium,1,Loyal Customers,0.795144
1579-KLYDT,Hickman,Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.45,593.45,Yes,1,98,5356,Competitor made better offer,74.18125,0-1 Year,Very High,1,Loyal Customers,0.82395875
6358-LYNGM,Mariposa,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,74.9,Yes,1,84,2548,Moved,37.45,0-1 Year,High,2,At Risk Customers,0.8691369
5494-HECPR,Mi Wuk Village,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.25,80.25,Yes,1,69,2502,Moved,40.125,0-1 Year,High,2,At Risk Customers,0.87142175
9897-KXHCM,Modesto,Female,No,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.3,250.05,Yes,1,72,3212,Competitor offered higher download speeds,62.5125,0-1 Year,High,2,At Risk Customers,0.74624854
1618-CFHME,Riverbank,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.9,143.35,Yes,1,86,2101,Don't know,47.78333333333333,0-1 Year,High,2,At Risk Customers,0.753977
5835-BEQEU,Westley,Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.95,228.4,Yes,1,92,4428,Don't know,57.1,0-1 Year,High,1,Loyal Customers,0.7430397
5565-FILXA,Yosemite National Park,Female,Yes,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.15,1529.2,Yes,1,96,5913,Don't know,89.95294117647059,1-2 Years,Very High,1,Loyal Customers,0.7504123
5552-ZNFSJ,Santa Rosa,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.3,45.3,Yes,1,66,4568,Don't know,22.65,0-1 Year,Medium,1,Loyal Customers,0.81753004
7595-EUIVN,Clearlake,Female,No,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.8,75.8,Yes,1,70,3940,Network reliability,37.9,0-1 Year,High,1,Loyal Customers,0.80124754
9134-CEQMF,Nice,Male,Yes,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.5,676.7,Yes,1,89,3077,Network reliability,84.5875,0-1 Year,High,2,At Risk Customers,0.7955441
6393-WRYZE,Bridgeville,Female,No,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.65,3207.55,Yes,1,87,3979,Don't know,91.64428571428572,2-4 Years,Very High,0,Champions,0.7035742
